0.1	0.02232
0.3	0.03742
0.5	0.044158
0.7	0.047025
0.9	0.048182
1.1	0.047999
1.3	0.047372
1.5	0.046502
1.7	0.044646
1.9	0.042301
2.1	0.040697
2.3	0.038107
2.5	0.036032
2.7	0.034016
2.9	0.03158
3.1	0.029467
3.3	0.027854
3.5	0.025675
3.7	0.024043
3.9	0.022629
4.1	0.020866
4.3	0.019432
4.5	0.017723
4.7	0.016665
4.9	0.015034
5.1	0.014258
5.3	0.013013
5.5	0.012043
5.7	0.01096
5.9	0.010307
6.1	0.009208
6.3	0.008692
6.5	0.007905
6.7	0.007258
6.9	0.006542
7.1	0.006038
7.3	0.005637
7.5	0.005092
7.7	0.004845
7.9	0.004276
8.1	0.003953
8.3	0.003691
8.5	0.003257
8.7	0.002943
8.9	0.002744
9.1	0.002583
9.3	0.002413
9.5	0.002164
9.7	0.001856
9.9	0.001792
