0.1	0.000164
0.3	0.000978
0.5	0.002417
0.7	0.004296
0.9	0.006278
1.1	0.009126
1.3	0.011011
1.5	0.013275
1.7	0.015279
1.9	0.017401
2.1	0.019264
2.3	0.020913
2.5	0.022495
2.7	0.023664
2.9	0.02467
3.1	0.025186
3.3	0.026066
3.5	0.026516
3.7	0.026773
3.9	0.026871
4.1	0.026996
4.3	0.026774
4.5	0.026961
4.7	0.026192
4.9	0.026048
5.1	0.025574
5.3	0.024549
5.5	0.024098
5.7	0.023507
5.9	0.022747
6.1	0.021735
6.3	0.021667
6.5	0.020452
6.7	0.019497
6.9	0.018963
7.1	0.018267
7.3	0.017392
7.5	0.016693
7.7	0.015779
7.9	0.014893
8.1	0.014337
8.3	0.013706
8.5	0.012946
8.7	0.012262
8.9	0.011553
9.1	0.010794
9.3	0.010323
9.5	0.009913
9.7	0.009134
9.9	0.008817
